"","X1","X2","lake","year"
"site322",-0.0983462963928451,-0.464348171532361,"wtwin",1869.48275890839
"site323",0.166750972873386,-0.0380743300923145,"etwin",NA
"site324",0.166750972873386,-0.0380743300923145,"etwin",NA
"site325",0.166750972873386,-0.0380743300923145,"etwin",NA
"site326",0.166750972873386,-0.0380743300923145,"etwin",NA
"site327",0.166750972873386,-0.0380743300923145,"etwin",NA
"site328",0.166750972873386,-0.0380743300923145,"etwin",NA
"site329",0.166750972873386,-0.0380743300923145,"etwin",NA
"site330",0.166750972873386,-0.0380743300923145,"etwin",NA
"site331",0.166750972873386,-0.0380743300923145,"etwin",NA
"site332",0.166750972873386,-0.0380743300923145,"etwin",NA
"site333",0.166750972873386,-0.0380743300923145,"etwin",NA
"site334",0.166750972873386,-0.0380743300923145,"etwin",NA
"site335",0.166750972873386,-0.0380743300923145,"etwin",NA
"site336",-0.0983462963928449,-0.464348171532361,"wtwin",NA
"site337",-0.0983462963928449,-0.464348171532361,"wtwin",NA
"site338",-0.0983462963928449,-0.464348171532361,"wtwin",NA
"site339",-0.0983462963928449,-0.464348171532361,"wtwin",NA
"site340",-0.0983462963928449,-0.464348171532361,"wtwin",NA
"site341",0.102293881844205,-0.170408128468211,"flame",NA
"site342",0.102293881844205,-0.170408128468211,"flame",NA
"site343",0.102293881844205,-0.170408128468211,"flame",NA
"site344",0.102293881844205,-0.170408128468211,"flame",NA
"site345",0.102293881844205,-0.170408128468211,"flame",NA
"site346",0.102293881844205,-0.170408128468211,"flame",NA
"site347",0.102293881844205,-0.170408128468211,"flame",NA
"site348",0.102293881844205,-0.170408128468211,"flame",NA
"site349",0.102293881844205,-0.170408128468211,"flame",NA
"site350",0.102293881844205,-0.170408128468211,"flame",NA
"site351",0.102293881844205,-0.170408128468211,"flame",NA
"site352",0.102293881844205,-0.170408128468211,"flame",NA
"site353",0.102293881844205,-0.170408128468211,"flame",NA
"site354",0.102293881844205,-0.170408128468211,"flame",NA
"site355",0.102293881844205,-0.170408128468211,"flame",NA
