"","lake","year_loess","dmar_loess","base"
"756","West Twin",1904.47503610297,0.0339982151408939,64
"757","West Twin",1902.66245944279,0.0335336483432116,65
"758","West Twin",1900.82480080215,0.0330581507382448,66
"759","West Twin",1898.95919445801,0.0325750772292104,67
"760","West Twin",1897.0627746873,0.0320877827193251,68
"761","West Twin",1895.13267576697,0.0315996221118058,69
"762","West Twin",1893.16603197397,0.0311139503098695,70
"763","West Twin",1891.15997758524,0.0306341222167329,71
"764","West Twin",1889.11164687772,0.030163492735613,72
"765","West Twin",1887.0283361969,0.0296931358620124,73
"766","West Twin",1884.91955324314,0.029211760693005,74
"767","West Twin",1882.78574932579,0.0287191747841647,75
"768","West Twin",1880.62737575417,0.0282151856910651,76
"769","West Twin",1878.44488383761,0.02769960096928,77
"770","West Twin",1876.23872488542,0.0271722281743833,78
"771","West Twin",1874.00935020693,0.0266328748619486,79
"772","West Twin",1871.75721111148,0.0260813485875498,80
"773","West Twin",1869.48275890839,0.0255174569067606,81
