"lake","bottom_interval_cm","name","value"
"smoke",9,"ironbound",0.0845007047593366
"smoke",9,"mobile",0.457065776897251
"smoke",11,"labile",0.34587762553679
"smoke",11,"recalcitrant",0.560146571087617
"smoke",11,"ironbound",0.0939758033032006
"smoke",11,"mobile",0.43985342883999
"smoke",13,"labile",0.359702998607715
"smoke",13,"recalcitrant",0.557513479611119
"smoke",13,"ironbound",0.0827835218274643
"smoke",13,"mobile",0.442486520435179
"smoke",14,"labile",0.332122781429221
"smoke",14,"recalcitrant",0.581730791005857
"smoke",14,"ironbound",0.0861464275994798
"smoke",14,"mobile",0.418269209028701
"smoke",15,"labile",0.344191662260181
"smoke",15,"recalcitrant",0.57167909303833
"smoke",15,"ironbound",0.0841292447117372
"smoke",15,"mobile",0.428320906971918
"smoke",17,"labile",0.345125118589666
"smoke",17,"recalcitrant",0.565701947737469
"smoke",17,"ironbound",0.0891729337082712
"smoke",17,"mobile",0.434298052297938
"smoke",19,"labile",0.330355965777561
"smoke",19,"recalcitrant",0.576215494337649
"smoke",19,"ironbound",0.0934285398781438
"smoke",19,"mobile",0.423784505655705
"smoke",20,"labile",0.323989729182452
"smoke",20,"recalcitrant",0.577632733574616
"smoke",20,"ironbound",0.0983775372856025
"smoke",20,"mobile",0.422367266468055
"smoke",21,"labile",0.344506402573017
"smoke",21,"recalcitrant",0.541979410319225
"smoke",21,"ironbound",0.113514187027128
"smoke",21,"mobile",0.458020589600145
"smoke",23,"labile",0.346126180780026
"smoke",23,"recalcitrant",0.537222523021702
"smoke",23,"ironbound",0.116651296188169
"smoke",23,"mobile",0.462777476968195
"smoke",25,"labile",0.276151274123578
"smoke",25,"recalcitrant",0.618256812125503
"smoke",25,"ironbound",0.10559191378836
"smoke",25,"mobile",0.381743187911938
"smoke",27,"labile",0.292905603803585
"smoke",27,"recalcitrant",0.592648050579284
"smoke",27,"ironbound",0.114446345626538
"smoke",27,"mobile",0.407351949430123
"smoke",28,"labile",0.281222694136629
"smoke",28,"recalcitrant",0.602900721328592
"smoke",28,"ironbound",0.115876584500886
"smoke",28,"mobile",0.397099278637516
"wtwin",4,"labile",0.304735941031562
"wtwin",4,"recalcitrant",0.483635145921187
"wtwin",4,"ironbound",0.211628913048672
"wtwin",4,"mobile",0.516364854080234
"wtwin",9,"labile",0.329207545064687
"wtwin",9,"recalcitrant",0.442010987146506
"wtwin",9,"ironbound",0.228781467807326
"wtwin",9,"mobile",0.557989012872014
"wtwin",11,"labile",0.314770888764999
"wtwin",11,"recalcitrant",0.476114086132247
"wtwin",11,"ironbound",0.209115025076899
"wtwin",11,"mobile",0.523885913841897
"wtwin",15,"labile",0.362212431438822
"wtwin",15,"recalcitrant",0.442621491330507
"wtwin",15,"ironbound",0.195166077243606
"wtwin",15,"mobile",0.557378508682428
"wtwin",17,"labile",0.363420465628719
"wtwin",17,"recalcitrant",0.451416275494434
"wtwin",17,"ironbound",0.185163258857473
"wtwin",17,"mobile",0.548583724486193
"wtwin",19,"labile",0.361422831244116
"wtwin",19,"recalcitrant",0.470150324973538
"wtwin",19,"ironbound",0.16842684381799
"wtwin",19,"mobile",0.529849675062106
"wtwin",21,"labile",0.399028755965199
"wtwin",21,"recalcitrant",0.427596417904222
"wtwin",21,"ironbound",0.173374826172887
"wtwin",21,"mobile",0.572403582138086
"wtwin",23,"labile",0.394996924144709
"wtwin",23,"recalcitrant",0.437805703644427
"wtwin",23,"ironbound",0.167197372224833
"wtwin",23,"mobile",0.562194296369541
"wtwin",25,"labile",0.394319671808929
"wtwin",25,"recalcitrant",0.44236993863744
"wtwin",25,"ironbound",0.163310389597461
"wtwin",25,"mobile",0.55763006140639
"wtwin",27,"labile",0.387185954605608
"wtwin",27,"recalcitrant",0.429160509465461
"wtwin",27,"ironbound",0.183653535899306
"wtwin",27,"mobile",0.570839490504913
"wtwin",29,"labile",0.359146100415698
"wtwin",29,"recalcitrant",0.469031872141832
"wtwin",29,"ironbound",0.171822027437389
"wtwin",29,"mobile",0.530968127853087
"wtwin",35,"labile",0.280147649659112
"wtwin",35,"recalcitrant",0.498987823346758
"wtwin",35,"ironbound",0.220864526988115
"wtwin",35,"mobile",0.501012176647227
"wtwin",40,"labile",0.41281246325938
"wtwin",40,"recalcitrant",0.407527676197697
"wtwin",40,"ironbound",0.179659860543438
"wtwin",40,"mobile",0.592472323802818
"wtwin",44,"labile",0.433540345632637
"wtwin",44,"recalcitrant",0.400665944644689
"wtwin",44,"ironbound",0.165793709739698
"wtwin",44,"mobile",0.599334055372335
"wtwin",48,"labile",0.192388422009046
"wtwin",48,"recalcitrant",0.704782057014745
"wtwin",48,"ironbound",0.102829520996996
"wtwin",48,"mobile",0.295217943006043
